Metric Name,Metric Unit,Maximum,Minimum,Average
ID,,,,0
Process ID,,,,983399
Process Name,,,,iter004_maxr56
Host Name,,,,127.0.0.1
Kernel Name,,,,"matmul_bf16_fp32_draft(const __nv_bfloat16 *, const __nv_bfloat16 *, float *, int, int, int)"
Context,,,,1
Stream,,,,7
Block Size,,,,"(512, 1, 1)"
Grid Size,,,,"(128, 128, 1)"
Device,,,,0
CC,,,,8.6
c2clink__enabled_mask,,,,0
c2clink__present,,,,0
derived__avg_thread_executed,thread,,,32.000000
derived__avg_thread_executed_true,thread,,,30.000000
derived__memory_l1_conflicts_shared_nway,byte,,,0.000000
derived__memory_l1_wavefronts_shared_excessive,byte,,,0.000000
derived__memory_l2_theoretical_sectors_global_excessive,byte,,,0.000000
derived__sm__sass_thread_inst_executed_op_dfma_pred_on_x2,thread,,,184.000000
derived__sm__sass_thread_inst_executed_op_ffma_pred_on_x2,thread,,,11776.000000
derived__smsp__inst_executed_op_branch_pct,%,,,0.064175
derived__smsp__sass_thread_inst_executed_op_dfma_pred_on_x2,thread,,,0.000000
derived__smsp__sass_thread_inst_executed_op_ffma_pred_on_x2,thread,,,0.000000
device__attribute_architecture,,,,368
device__attribute_async_engine_count,,,,2
device__attribute_can_flush_remote_writes,,,,0
device__attribute_can_map_host_memory,,,,1
device__attribute_can_tex2d_gather,,,,1
device__attribute_can_use_64_bit_stream_mem_ops,,,,1
device__attribute_can_use_64_bit_stream_mem_ops_v1,,,,0
device__attribute_can_use_host_pointer_for_registered_mem,,,,1
device__attribute_can_use_stream_mem_ops_v1,,,,0
device__attribute_can_use_stream_wait_value_nor,,,,1
device__attribute_can_use_stream_wait_value_nor_v1,,,,0
device__attribute_chip,,,,372
device__attribute_clock_rate,,,,"1,770,000"
device__attribute_cluster_launch,,,,0
device__attribute_compute_capability_major,,,,8
device__attribute_compute_capability_minor,,,,6
device__attribute_compute_mode,,,,0
device__attribute_compute_preemption_supported,,,,1
device__attribute_concurrent_kernels,,,,1
device__attribute_concurrent_managed_access,,,,1
device__attribute_confidential_computing_mode,,,,No-CC
device__attribute_cooperative_launch,,,,1
device__attribute_cooperative_multi_device_launch,,,,1
device__attribute_deferred_mapping_cuda_array_supported,,,,1
device__attribute_device_index,,,,0
device__attribute_direct_managed_mem_access_from_host,,,,0
device__attribute_display_name,,,,NVIDIA GeForce RTX 3070
device__attribute_dma_buf_supported,,,,0
device__attribute_ecc_enabled,,,,0
device__attribute_fb_bus_width,,,,256
device__attribute_fbp_count,,,,4
device__attribute_generic_compression_supported,,,,1
device__attribute_global_l1_cache_supported,,,,1
device__attribute_global_memory_bus_width,,,,256
device__attribute_gpu_direct_rdma_flush_writes_options,,,,1
device__attribute_gpu_direct_rdma_supported,,,,0
device__attribute_gpu_direct_rdma_with_cuda_vmm_supported,,,,0
device__attribute_gpu_direct_rdma_writes_ordering,,,,0
device__attribute_gpu_overlap,,,,1
device__attribute_gpu_pci_device_id,,,,"612,896,990"
device__attribute_gpu_pci_ext_device_id,,,,"9,352"
device__attribute_gpu_pci_ext_downstream_link_rate,,,,"16,000"
device__attribute_gpu_pci_ext_downstream_link_width,,,,16
device__attribute_gpu_pci_ext_gen,,,,3
device__attribute_gpu_pci_ext_gpu_gen,,,,3
device__attribute_gpu_pci_ext_gpu_link_rate,,,,"16,000"
device__attribute_gpu_pci_ext_gpu_link_width,,,,16
device__attribute_gpu_pci_revision_id,,,,161
device__attribute_gpu_pci_sub_system_id,,,,"2,285,375,555"
device__attribute_handle_type_posix_file_descriptor_supported,,,,1
device__attribute_handle_type_win32_handle_supported,,,,0
device__attribute_handle_type_win32_kmt_handle_supported,,,,0
device__attribute_host_native_atomic_supported,,,,0
device__attribute_host_numa_id,,,,0
device__attribute_host_register_supported,,,,1
device__attribute_implementation,,,,372
device__attribute_integrated,,,,0
device__attribute_ipc_event_supported,,,,1
device__attribute_kernel_exec_timeout,,,,0
device__attribute_l2_cache_size,,,,"4,194,304"
device__attribute_l2s_count,,,,32
device__attribute_limits_max_cta_per_sm,,,,16
device__attribute_local_l1_cache_supported,,,,1
device__attribute_managed_memory,,,,1
device__attribute_max_access_policy_window_size,,,,"134,213,632"
device__attribute_max_block_dim_x,,,,"1,024"
device__attribute_max_block_dim_y,,,,"1,024"
device__attribute_max_block_dim_z,,,,64
device__attribute_max_blocks_per_multiprocessor,,,,16
device__attribute_max_gpu_frequency_khz,,,,"1,770,000"
device__attribute_max_grid_dim_x,,,,"2,147,483,647"
device__attribute_max_grid_dim_y,,,,"65,535"
device__attribute_max_grid_dim_z,,,,"65,535"
device__attribute_max_ipc_per_multiprocessor,,,,4
device__attribute_max_ipc_per_scheduler,,,,1
device__attribute_max_mem_frequency_khz,,,,"7,001,000"
device__attribute_max_persisting_l2_cache_size,,,,"3,145,728"
device__attribute_max_pitch,,,,"2,147,483,647"
device__attribute_max_registers_per_block,,,,"65,536"
device__attribute_max_registers_per_multiprocessor,,,,"65,536"
device__attribute_max_registers_per_thread,,,,255
device__attribute_max_shared_memory_per_block,,,,"49,152"
device__attribute_max_shared_memory_per_block_optin,,,,"101,376"
device__attribute_max_shared_memory_per_multiprocessor,,,,"102,400"
device__attribute_max_threads_per_block,,,,"1,024"
device__attribute_max_threads_per_multiprocessor,,,,"1,536"
device__attribute_max_warps_per_multiprocessor,,,,48
device__attribute_max_warps_per_scheduler,,,,12
device__attribute_maximum_surface1d_layered_layers,,,,"2,048"
device__attribute_maximum_surface1d_layered_width,,,,"32,768"
device__attribute_maximum_surface1d_width,,,,"32,768"
device__attribute_maximum_surface2d_height,,,,"65,536"
device__attribute_maximum_surface2d_layered_height,,,,"32,768"
device__attribute_maximum_surface2d_layered_layers,,,,"2,048"
device__attribute_maximum_surface2d_layered_width,,,,"32,768"
device__attribute_maximum_surface2d_width,,,,"131,072"
device__attribute_maximum_surface3d_depth,,,,"16,384"
device__attribute_maximum_surface3d_height,,,,"16,384"
device__attribute_maximum_surface3d_width,,,,"16,384"
