iter	kernel	tflops	decision	bottleneck	idea_summary
iter000	iter000_cublas	400.2004	KEEP	baseline	cuBLAS reference baseline
iter001	iter001_wn192_s4_1p1c	254.91	KEEP	memory_bound	1p1c WN=192 S4 baseline with perfect N tiling (16320/192=85)
iter002	iter002_wn256_s3_1p1c	287.389	KEEP	memory_bound	WN=256 S3: Higher arithmetic intensity per CTA despite imperfect N-tiling
iter003	iter003_wn256_s3_swz12	319.772	KEEP	compute_bound	WN=256 S3 + Grid SWIZZLE=12: Improve L2 cache locality
iter004	iter004_wn256_s3_swz12_lb	315.435	DISCARD	compute_bound	WN=256 S3 SWIZZLE=12 + launch_bounds(256,1)
iter005	iter005_wn256_s4_swz12	317.399	DISCARD	compute_bound	WN=256 STAGES=4 SWIZZLE=12: More pipeline depth
iter006	iter006_wn256_s3_swz8	307.817	DISCARD	compute_bound	WN=256 S3 SWIZZLE=8: Lower swizzle value
iter007	iter007_wn256_s3_swz16	314.81	DISCARD	compute_bound	WN=256 S3 SWIZZLE=16: Higher swizzle value
iter008	iter008_wn192_s4_swz12	282.681	DISCARD	memory_bound	WN=192 S4 SWIZZLE=12: Perfect N tiling + grid swizzle
iter009	iter009_wn256_s3_swz10	310.109	DISCARD	compute_bound	WN=256 S3 SWIZZLE=10
iter010	iter010_wn256_s3_swz11	284.309	DISCARD	compute_bound	WN=256 S3 SWIZZLE=11
iter011	iter011_wn256_s3_swz13	126.226	DISCARD	contention	WN=256 S3 SWIZZLE=13
iter012	iter012_wn256_s3_swz14	312.968	DISCARD	compute_bound	WN=256 S3 SWIZZLE=14
iter013	iter013_wn256_s3_swz12_1p2c	19.98	DISCARD	memory_bound	1p2c WN=128 S3 SWIZZLE=12: More consumer threads
iter014	iter014_wn256_s2_swz12	20.96	DISCARD	latency_bound	WN=256 S2 SWIZZLE=12: Fewer stages
iter015	iter015_wn256_s3_swz12_fastmath	309.222	DISCARD	compute_bound	WN=256 S3 SWIZZLE=12 + --use_fast_math
iter016	iter016_wn256_s3_swz12_ptxo3	286.02	DISCARD	memory_bound	PTX O3 optimization - compiler over-optimized shared memory access patterns
iter017	iter017_wn256_tm128_tk128	18.90	DISCARD	memory_bound	Larger tile M/K (128x128) - internal layouts not adapted
iter018	iter018_wn256_s3_wk128	310.87	DISCARD	memory_bound	WARP_K=32 - larger inner K tile reduces occupancy
iter019	iter019_wn256_s3_swiz64	276.32	DISCARD	memory_bound	TMA swizzle=64 bits - worse bank conflict pattern
iter020	iter020_wn256_s4_swz12v2	0	HANG	misc	4-stage pipeline + swizzle - barrier deadlock from shared memory offset miscalcu
iter021	iter021_wm128_wn256_s3	308.99	DISCARD	memory_bound	WARP_M=128 - increased register pressure reduces occupancy
iter022	iter022_wm32_wn256_s3	304.35	DISCARD	memory_bound	WARP_M=32 - smaller M tile reduces arithmetic intensity per thread
iter023	iter023_wn256_s3_reg160	306.88	DISCARD	memory_bound	maxrregcount=160 - register spilling hurts more than occupancy gain
iter024	iter024_wn256_s3_swz15	228.77	DISCARD	memory_bound	Grid swizzle=15 - suboptimal L2 cache reuse pattern
iter025	iter003_profile	319.77	KEEP	latency_bound	Profiled iter003: 8-way bank conflicts on smem stores (75%), 2 warps/sched, need
iter026	iter026_wn128_s3_swz12	151.68	DISCARD	memory_bound	WARP_N=128 to reduce bank conflicts - kernel internals hardcoded for 256
iter027	iter027_wn192_s3_swz12	0	SEGFAULT	misc	WARP_N=192 STAGES=3 - smem layout mismatch from stage reduction
iter028	iter028_wn256_s3_ftz	313.0	DISCARD	memory_bound	ftz=true - no benefit for tensor core compute
iter029	iter029_wn256_s3_swz9	18.43	DISCARD	memory_bound	Grid swizzle=9 - incompatible with M/N tile ratio
iter030	iter030_wn256_s3_tmaswz32	188.40	DISCARD	memory_bound	TMA swizzle=32 - worse shared memory layout
iter031	iter031_swz6	311.45	DISCARD	memory_bound	Grid swizzle=6
iter032	iter032_swz4	283.73	DISCARD	memory_bound	Grid swizzle=4
iter033	iter033_swz20	291.60	DISCARD	memory_bound	Grid swizzle=20 - inconsistent perf
iter034	iter034_swz24	322.08	DISCARD	memory_bound	Grid swizzle=24
iter035	iter035_swz32	316.63	DISCARD	memory_bound	Grid swizzle=32
iter036	iter036_reg200	172.84	DISCARD	compute_bound	maxrregcount=200
iter037	iter037_reg255	163.53	DISCARD	compute_bound	maxrregcount=255
iter038	iter038_unroll	317.40	DISCARD	compute_bound	-funroll-loops
iter039	iter039_precdiv	321.65	DISCARD	compute_bound	prec-div=false
iter040	iter040_precsqrt	316.35	DISCARD	compute_bound	prec-sqrt=false (unstable)
iter041	iter041_prec	317.24	DISCARD	compute_bound	prec-div+sqrt=false (unstable)
iter042	iter042_swz17	312.75	DISCARD	memory_bound	Grid swizzle=17
iter043	iter043_swz18	164.68	DISCARD	memory_bound	Grid swizzle=18
iter044	iter044_swz19	317.24	DISCARD	memory_bound	Grid swizzle=19
iter046	iter046_swz21	314.23	DISCARD	memory_bound	Grid swizzle=21
iter047	iter047_swz22	319.53	DISCARD	memory_bound	Grid swizzle=22
iter048	iter048_swz23	309.42	DISCARD	memory_bound	Grid swizzle=23
iter050	iter050_swz25	319.36	DISCARD	memory_bound	Grid swizzle=25
iter051	iter051_swz26	319.53	DISCARD	memory_bound	Grid swizzle=26
iter053	iter053_swz28	160.39	DISCARD	memory_bound	Grid swizzle=28
iter054	iter054_wm48	317.92	DISCARD	memory_bound	WARP_M=48
iter055	iter055_wm96	314.97	DISCARD	memory_bound	WARP_M=96
iter056	iter056_tm48	249.44	DISCARD	memory_bound	TILE_M=48
iter057	iter057_tk32	149.43	DISCARD	memory_bound	TILE_K=32
iter058	iter058_wm48_swz14	321.30	DISCARD	memory_bound	WARP_M=48 + swizzle=14
iter059	iter059_wm48_swz10	318.77	DISCARD	memory_bound	WARP_M=48 + swizzle=10
iter060	iter060_baseline	319.77	KEEP	memory_bound	Baseline with ptxas verbose (168 regs, 64B smem)
iter061	iter061_wm80	316.23	DISCARD	memory_bound	WARP_M=80
iter062	iter062_wm56	318.26	DISCARD	memory_bound	WARP_M=56
iter063	iter063_wm48_swz12	317.02	DISCARD	memory_bound	WARP_M=48 + swz12
iter064	iter064_wm72	319.69	DISCARD	memory_bound	WARP_M=72
iter065	iter065_wm40	316.71	DISCARD	memory_bound	WARP_M=40
iter066	iter066_wm52	318.33	DISCARD	memory_bound	WARP_M=52
iter067	iter067_wm60	316.19	DISCARD	memory_bound	WARP_M=60
iter068	iter068_wm68	317.45	DISCARD	memory_bound	WARP_M=68
iter069	iter069_wn128	0	DISCARD	misc	WARP_N=128 - INVALID: kernel internals not updated
