iter	kernel	tflops	decision	bottleneck	idea_summary
iter000	iter000_cublas	413.9151	KEEP	baseline	cuBLAS reference baseline
iter001	iter001_base_pipelined	169.57	KEEP	memory_bound	Initial pipelined kernel: BLOCK_M=128, BLOCK_N=128, BLOCK_K=32, 3 stages
iter002	iter002_larger_tiles	276.87	KEEP	compute_bound	Larger tiles: BLOCK_M=256, BLOCK_K=64, num_stages=4
iter003	iter003_b256x256	0	COMPILE_FAIL	compute_bound	256x256 tiles exceeded shared memory limit (262KB)
iter004	iter004_b128x256_k32	316.73	KEEP	compute_bound	Wide tiles 128x256 with BLOCK_K=32 fits smem, improves N-reuse
iter005	iter005_b128x256_k64_s5	0	COMPILE_FAIL	compute_bound	5 stages with K=64 exceeded smem (245KB)
iter006	iter006_b128x256_k64_s3	310.96	DISCARD	compute_bound	K=64 with 3 stages - larger K did not help vs K=32 with 4 stages
iter007	iter007_swizzle_panel8	146.12	DISCARD	memory_bound	panel_size=8 much worse - keep panel_size=10
iter008	iter008_b64x256_more_ctas	249.63	DISCARD	compute_bound	64x256 tiles worse than 128x256 - smaller M tiles hurt performance
iter009	iter009_b192x128_k32	229.61	DISCARD	compute_bound	192x128 tiles worse - taller M does not help
iter010	iter010_b128x128_k32_s6	238.62	DISCARD	compute_bound	128x128 with 6 stages worse than 128x256 with 4 stages
iter011	iter011_b128x256_no_swizzle	218.27	DISCARD	memory_bound	Disabling swizzle significantly hurts performance
iter012	iter012_b128x256_k32_s5	299.43	DISCARD	compute_bound	5 stages worse than 4 stages for this tile configuration
iter013	iter013_b128x256_k32_s3	162.44	DISCARD	memory_bound	3 stages much worse than 4 stages for 128x256 tiles
iter014	iter014_panel12	310.86	DISCARD	compute_bound	panel_size=12 slightly worse than panel_size=10
iter015	iter015_t128	67.05	DISCARD	latency_bound	128 threads severely limits parallelism - 256 is optimal
iter016	iter016_b256x128	299.26	DISCARD	compute_bound	256x128 tall tiles worse than 128x256 wide tiles
iter017	iter017_k48	77.66	DISCARD	memory_bound	K=48 triggers TMA fallback warning and bad performance
iter018	iter018_k16	130.44	DISCARD	latency_bound	K=16 with 6 stages worse than K=32 with 4 stages
iter019	iter019_parallel_copy	261.09	DISCARD	compute_bound	T.Parallel copy worse than T.copy
iter020	iter020_b96x256	0	COMPILE_FAIL	compute_bound	96x256 fails MMA layout constraint (warp_col_tiles % 8)
iter021	iter021_b160x256	0	COMPILE_FAIL	compute_bound	160x256 fails MMA layout constraint (warp_row_tiles % 16)
iter022	iter022_b144x256	0	COMPILE_FAIL	compute_bound	144x256 fails WGMMA warp_row_tiles constraint
iter023	iter023_b128x192	217.51	DISCARD	compute_bound	128x192 tiles worse than 128x256
