iter	kernel	tflops	decision	bottleneck	idea_summary
iter000	iter000_cublas	117.5774	KEEP	baseline	cuBLAS reference baseline
iter001	iter001_b128x128k64s4_baseline	79.15	KEEP	memory_bound	Initial adapted kernel from 16384x16384x16384 shape, using 128x128 tiles with K=
iter002	iter002_b256x128k32	35.02	DISCARD	compute_bound	Larger tiles 256x128 with BLOCK_K=32 - actually worse due to register pressure
iter003	iter003_b64x64k32s2	31.27	DISCARD	compute_bound	Smaller tiles 64x64 with BLOCK_K=32, num_stages=2 - even worse
iter004	iter004_b128x256k64s3	30.03	DISCARD	compute_bound	Wider tiles 128x256 with K=64, stages=3 - worse
iter005	iter005_b128x128k64s2_t256	96.52	KEEP	compute_bound	128x128 tiles with K=64, stages=2, threads=256 - more threads helps small K
iter006	iter006_b128x128k64s2_t128	99.59	KEEP	compute_bound	128x128 tiles with K=64, stages=2, threads=128 - lower thread count better
iter007	iter007_b128x128k64s1_t128	0	HANG	compute_bound	128x128 tiles with K=64, stages=1, threads=128 - kernel hangs with single stage
iter007	iter007_b128x128k64s1_t128	0	HANG	compute_bound	stages=1 hangs
iter008	iter008_b128x128k64s3_t128	226.58	KEEP	compute_bound	128x128 tiles with K=64, stages=3, threads=128 - massive improvement
iter009	iter009_b128x128k64s4_t128	226.98	DISCARD	compute_bound	stages=4 same as stages=3
iter010	iter010_b128x192k64s3	249.30	KEEP	compute_bound	Wider tiles 128x192 with K=64, stages=3 - excellent performance
iter011	iter011_b192x128k64s3	252.52	KEEP	compute_bound	Taller tiles 192x128 with K=64, stages=3 - slightly better than 128x192
iter012	iter012_b192x192k64s3	116.16	DISCARD	compute_bound	192x192 tiles too large - worse than baseline
iter013	iter013_b256x128k64s3	121.68	DISCARD	compute_bound	256x128 tiles too large in M dimension
iter014	iter014_b192x128k32s3	222.01	DISCARD	compute_bound	BLOCK_K=32 worse than K=64
iter015	iter015_b192x128k64s3_p4	247.10	DISCARD	compute_bound	panel_size=4 slightly worse than 8
iter016	iter016_b192x128k64s3_p16	250.12	DISCARD	compute_bound	panel_size=16 similar to 8
iter017	iter017_b192x128k64s2	236.50	DISCARD	compute_bound	stages=2 worse than stages=3 for 192x128
iter018	iter018_b192x128k64s4	248.98	DISCARD	compute_bound	stages=4 also worse than stages=3 for 192x128
iter019	iter019_b160x128k64s3	0	COMPILE_FAIL	compute_bound	BLOCK_M=160 incompatible with WGMMA tile constraints
iter020	iter020_b224x128k64s3	0	COMPILE_FAIL	compute_bound	BLOCK_M=224 incompatible with WGMMA constraints
iter021	iter021_b192x64k64s3	198.12	DISCARD	compute_bound	Narrower tiles 192x64 worse
iter022	iter022_b256x64k64s3	220.46	DISCARD	compute_bound	256x64 tiles still worse than 192x128
iter023	iter023_b192x128k64s3_t64	41.07	DISCARD	latency_bound	64 threads too few for 192x128 tiles
iter024	iter024_b192x128k64s3_t256	252.44	DISCARD	compute_bound	256 threads similar to 128 threads for 192x128
iter025	iter025_b192x128k128s2	254.79	KEEP	compute_bound	BLOCK_K=128 with only 4 K-loop iterations and stages=2 - best yet
iter026	iter026_b192x128k128s3	0	COMPILE_FAIL	memory_bound	stages=3 with BLOCK_K=128 exceeds shared memory
iter027	iter027_b192x128k256s2	0	COMPILE_FAIL	memory_bound	BLOCK_K=256 exceeds shared memory even with stages=2
iter028	iter028_b128x128k128s2	213.70	DISCARD	compute_bound	128x128 with K=128 worse than 192x128
iter029	iter029_b128x192k128s2	247.40	DISCARD	compute_bound	128x192 with K=128 slightly worse than 192x128
iter030	iter030_b192x128k128s2_t256	87.55	DISCARD	compute_bound	256 threads with K=128 causes issues
iter031	iter031_b192x128k128s2_p4	248.18	DISCARD	compute_bound	panel_size=4 worse than 8
iter032	iter032_b192x128k128s2_p16	254.85	DISCARD	compute_bound	panel_size=16 similar variance to panel_size=8
iter033	iter033_b192x128k128s2_noswz	193.12	DISCARD	memory_bound	No swizzle has high variance - swizzle is needed
iter034	iter034_b256x128k128s2	59.35	DISCARD	memory_bound	256x128 with K=128 too much shared memory pressure
iter035	iter035_b192x96k128s2	201.69	DISCARD	compute_bound	192x96 with K=128 worse than 192x128
iter036	iter036_b128x128k128s3	234.78	DISCARD	compute_bound	128x128 with K=128 stages=3 worse than 192x128
iter037	iter037_b192x128k64s5	238.58	DISCARD	compute_bound	stages=5 with K=64 not better than K=128s2
iter038	iter038_b192x128k128s1	205.53	DISCARD	latency_bound	stages=1 with K=128 not enough pipelining
iter039	iter039_b192x128k64s6	0	COMPILE_FAIL	memory_bound	stages=6 exceeds shared memory
iter040	iter040_b192x160k128s2	48.41	DISCARD	memory_bound	160 N tile misaligned
iter041	iter041_b64x128k128s2	178.56	DISCARD	compute_bound	64x128 tiles too small
iter042	iter042_b192x128k64s3_p4	236.33	DISCARD	compute_bound	K=64 s3 p4 worse than K=128
iter043	iter043_b192x128k64s4_p8	104.99	DISCARD	memory_bound	K=64 s4 much worse
