iter	kernel	tflops	decision	bottleneck	idea_summary
iter000	iter000_cublas	415.8495	KEEP	baseline	cuBLAS reference baseline
iter001	iter001_base_matmul	321.99	KEEP	memory_bound	Initial baseline Triton matmul with BM128_BN256_BK64
iter002	iter002_smaller_tile	177.36	DISCARD	compute_bound	Smaller tiles BM64_BN128_BK32 hurt arithmetic intensity
iter003	iter003_more_stages	315.88	DISCARD	compute_bound	num_stages=4 with large tiles causes shared memory pressure
iter004	iter004_balanced_tile	247.27	DISCARD	compute_bound	BM128_BN128 reduces arithmetic intensity vs BM128_BN256
iter005	iter005_swizzle_l2	315.00	DISCARD	compute_bound	GROUP_M=16 for L2 locality did not help
iter006	iter006_persistent	266.12	DISCARD	launch_bound	Persistent kernel overhead hurts large matrix performance
iter007	iter007_larger_bk	288.29	DISCARD	compute_bound	BLOCK_K=128 with num_stages=2 reduces pipelining benefit
iter008	iter008_medium_4stage	255.61	DISCARD	compute_bound	BM128_BN128 reduces arithmetic intensity vs BM128_BN256
iter009	iter009_warp4	65.59	DISCARD	compute_bound	num_warps=4 too few for BM128_BN256 tile size
iter010	iter010_warp16	338.13	KEEP	compute_bound	num_warps=16 improves parallelism within thread block
iter011	iter011_w16_bk32	323.23	DISCARD	compute_bound	BLOCK_K=32 reduces arithmetic intensity per iteration
iter012	iter012_w16_s4	333.95	DISCARD	compute_bound	num_stages=4 increases SMEM pressure without benefit
iter013	iter013_bm256bn128	315.36	DISCARD	compute_bound	BM256_BN128 poor for B matrix access patterns
iter014	iter014_bm64bn256	238.29	DISCARD	compute_bound	BM64_BN256 reduces A matrix reuse
iter015	iter015_allow_tf32	337.38	DISCARD	compute_bound	allow_tf32 no effect on fp16 inputs
iter016	iter016_num_ctas2	241.82	DISCARD	compute_bound	num_ctas=2 adds overhead without benefit
iter017	iter017_warp12	0	COMPILE_FAIL	compute_bound	num_warps=12 not power of 2
iter018	iter018_warp10	0	COMPILE_FAIL	compute_bound	num_warps=10 not power of 2
iter019	iter019_warp14	0	COMPILE_FAIL	compute_bound	num_warps=14 not power of 2
iter020	iter020_warp32	301.90	DISCARD	compute_bound	num_warps=32 increases register pressure too much
iter021	iter021_evict_last	340.00	KEEP	memory_bound	eviction_policy=evict_last improves L2 caching
iter022	iter022_gm4	319.92	DISCARD	memory_bound	GROUP_M=4 reduces L2 locality
iter023	iter023_gm16	336.58	DISCARD	memory_bound	GROUP_M=16 too large for this shape
iter024	iter024_gm32	314.85	DISCARD	memory_bound	GROUP_M=32 way too large
iter025	iter025_bk32	322.84	DISCARD	compute_bound	BLOCK_K=32 with evict_last
iter026	iter026_bk48	0	COMPILE_FAIL	compute_bound	BLOCK_K=48 not power of 2
iter027	iter027_bk96	0	COMPILE_FAIL	compute_bound	BLOCK_K=96 not power of 2
